source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
scene1.txt,4,19,2,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,accent+historic_s_before_consonant+punctuation_removed_for_graphic_key+spacing_or_hyphen+y_i+accent+punctuation_removed_for_graphic_key+spacing_or_hyphen+y_i,"soustiens~moy, | soûtiens-moi, | soûtiens-moy,","soustiens~moy,=[1,5] | soûtiens-moi,=[3,4] | soûtiens-moy,=[2]",,3,4,0.714,4,0.714,0,0,1.000,soutiensmoi,"soustiens~moy,","soûtiens-moy,","soûtiens-moi,","soûtiens-moi,","soustiens~moy,"
scene1.txt,4,19,6,minor_graphic_safe,hide_safe,yes,masquable:rule_based,accent_only,accent,extréme. | extrême.,"extréme.=[1,2,5] | extrême.=[3,4]",,2,1,0.875,1,0.875,0,0,1.000,extreme,extréme.,extréme.,extrême.,extrême.,extréme.
scene1.txt,6,31,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," Madame qu’auez~vous~? Et quel mal si caché… |  Madame qu’avez~vous~? Et quel mal si caché…. |  Madame, qu’avez-vous~? & quel mal si caché… |  Madame, qu’avez-vous~? & quel trouble… |  Madame, qu’avez-vous~? Et quel mal si caché…"," Madame qu’auez~vous~? Et quel mal si caché…=[1] |  Madame qu’avez~vous~? Et quel mal si caché….=[5] |  Madame, qu’avez-vous~? & quel mal si caché…=[3] |  Madame, qu’avez-vous~? & quel trouble…=[4] |  Madame, qu’avez-vous~? Et quel mal si caché…=[2]",,5,,,,,,,,madamequauezuousetquelmalsicache | madamequauezuousquelmalsicache | madamequauezuousqueltrouble, Madame qu’auez~vous~? Et quel mal si caché…," Madame, qu’avez-vous~? Et quel mal si caché…"," Madame, qu’avez-vous~? & quel mal si caché…"," Madame, qu’avez-vous~? & quel trouble…", Madame qu’avez~vous~? Et quel mal si caché….
scene1.txt,8,43,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," Ah~! mon Fils, de quel sang estes vous-là taché~? |  Ah~! mon Fils, de quel sang revenez-vous taché~? |  ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,"," Ah~! mon Fils, de quel sang estes vous-là taché~?=[1,5] |  Ah~! mon Fils, de quel sang revenez-vous taché~?=[2,3] |  ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,=[4]",,3,,,,,,,,ahmonfils | ahmonfilsdequelsangestesuouslatache | ahmonfilsdequelsangreuenezuoustache," Ah~! mon Fils, de quel sang estes vous-là taché~?"," Ah~! mon Fils, de quel sang revenez-vous taché~?"," Ah~! mon Fils, de quel sang revenez-vous taché~?"," ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,"," Ah~! mon Fils, de quel sang estes vous-là taché~?"
scene1.txt,9,49,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna, (lacune) | Quelles traces de sang voi-je sur vos habits~?," (lacune)=[1,2,3,4] | Quelles traces de sang voi-je sur vos habits~?=[5]",,2,,,,,,,,lacune | quelestracesdesanguoiiesuruoshabis, (lacune), (lacune), (lacune), (lacune),Quelles traces de sang voi-je sur vos habits~?
scene1.txt,10,55,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"Est-ce~de~vostre~Frere, | Est-ce~du~sang~d’un~Frere,","Est-ce~de~vostre~Frere,=[1,5] | Est-ce~du~sang~d’un~Frere,=[2,3,4]",,2,10,0.615,10,0.615,8,8,0.579,estcedeuostrefrere | estcedusangdunfrere,"Est-ce~de~vostre~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~de~vostre~Frere,"
scene1.txt,12,67,5,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,y_i,ni | ny,"ni=[2,3,4] | ny=[1,5]",,2,1,0.500,1,0.500,0,0,1.000,ni,ny,ni,ni,ni,ny
scene1.txt,12,67,7,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,apostrophe+u_v,l’un | l’vn,"l’un=[2,3,4,5] | l’vn=[1]",,2,1,0.750,1,0.750,0,0,1.000,lun,l’vn,l’un,l’un,l’un,l’un
scene1.txt,12,67,8,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,y_i,ni | ny,"ni=[2,3,4] | ny=[1,5]",,2,1,0.500,1,0.500,0,0,1.000,ni,ny,ni,ni,ni,ny
scene1.txt,12,67,10,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"l’autre, | l’autre.","l’autre,=[1,5] | l’autre.=[2,3,4]",,2,1,0.875,1,0.875,0,0,1.000,lautre,"l’autre,",l’autre.,l’autre.,l’autre.,"l’autre,"
