source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,9,49,1,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,accent_only;historic_graphic_key_identity;low_similarity_or_real_rewriting,accent+accent+spacing_or_hyphen+u_v+spacing_or_hyphen+u_v+substantive_default,Il~deuoit~bien~plutost | Il~devoit~bien~plutost | Il~devoit~bien~plûtost | Puisse~plûtost~la~mort,"Il~deuoit~bien~plutost=[1] | Il~devoit~bien~plutost=[5] | Il~devoit~bien~plûtost=[2,3] | Puisse~plûtost~la~mort=[4]",,4,19,0.136,19,0.136,15,15,0.211,ildeuoitbienplutost | puiseplutostlamort,Il~deuoit~bien~plutost,Il~devoit~bien~plûtost,Il~devoit~bien~plûtost,Puisse~plûtost~la~mort,Il~devoit~bien~plutost
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,10,55,1,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,historic_graphic_key_identity;low_similarity_or_real_rewriting,spacing_or_hyphen+u_v+substantive_default,Et~m’empescher~de~voir | Que~de~fauoriser | Que~de~favoriser,"Et~m’empescher~de~voir=[4] | Que~de~fauoriser=[1] | Que~de~favoriser=[2,3,5]",,3,18,0.182,18,0.182,14,14,0.222,etmempescherdeuoir | quedefauoriser,Que~de~fauoriser,Que~de~favoriser,Que~de~favoriser,Et~m’empescher~de~voir,Que~de~favoriser
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,22,127,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,(lacune) | à~vn~Page.,"(lacune)=[2,3,4] | à~vn~Page.=[1,5]",,2,9,0.100,9,0.100,5,5,0.286,aunpage | lacune,à~vn~Page.,(lacune),(lacune),(lacune),à~vn~Page.
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,23,133,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Que l’on aille au plus viste auertir la Princesse, | Que l’on aille au plus viste avertir la Princesse, | Que l’on coure avertir & haster la Princesse,","Que l’on aille au plus viste auertir la Princesse,=[1] | Que l’on aille au plus viste avertir la Princesse,=[5] | Que l’on coure avertir & haster la Princesse,=[2,3,4]",,3,,,,,,,,quelonaileauplusuisteauertirlaprincese | queloncoureauertirhasterlaprincese,"Que l’on aille au plus viste auertir la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on aille au plus viste avertir la Princesse,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,25,145,2,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"faut,~il~faut~courir | faut~courir,~Olympe,","faut,~il~faut~courir=[1,2,3,5] | faut~courir,~Olympe,=[4]",,2,15,0.250,15,0.250,12,12,0.250,fautcourirolimpe | fautilfautcourir,"faut,~il~faut~courir","faut,~il~faut~courir","faut,~il~faut~courir","faut~courir,~Olympe,","faut,~il~faut~courir"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,27,157,4,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"Olympe, | helas~!","Olympe,=[1,2,3,5] | helas~!=[4]",,2,7,0.000,7,0.000,6,6,0.000,helas | olimpe,"Olympe,","Olympe,","Olympe,",helas~!,"Olympe,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,31,181,2,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,low_similarity_or_real_rewriting;punctuation_only,punctuation_only+substantive_default,"toy,~Soleil,~ô~toy, | toy,~qui~que~tu~sois | toy,~qui~que~tu~sois,","toy,~Soleil,~ô~toy,=[4] | toy,~qui~que~tu~sois=[1,5] | toy,~qui~que~tu~sois,=[2,3]",,3,12,0.400,12,0.400,10,10,0.333,toiquiquetusois | toisoleilotoi,"toy,~qui~que~tu~sois","toy,~qui~que~tu~sois,","toy,~qui~que~tu~sois,","toy,~Soleil,~ô~toy,","toy,~qui~que~tu~sois"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,35,205,6,minor_mixed,inspect,no,inspect:do_not_hide_yet,high_graphic_similarity:0.923;historic_graphic_key_identity,apostrophe+u_v+levenshtein_alert,t’espouuantent | t’espouvantent | t’épouvantent,"t’espouuantent=[1] | t’espouvantent=[5] | t’épouvantent=[2,3,4]",,3,3,0.786,3,0.786,1,1,0.923,tepouuantent | tespouuantent,t’espouuantent,t’épouvantent,t’épouvantent,t’épouvantent,t’espouvantent
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,36,211,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,La~race~de~Lajus | Le~seul~sang~de~Lajus,"La~race~de~Lajus=[4] | Le~seul~sang~de~Lajus=[1,2,3,5]",,2,9,0.571,9,0.571,8,8,0.529,laracedelaius | leseulsangdelaius,Le~seul~sang~de~Lajus,Le~seul~sang~de~Lajus,Le~seul~sang~de~Lajus,La~race~de~Lajus,Le~seul~sang~de~Lajus
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,43,253,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," (lacune) |  Ce sang en leur donnant la lumiere céleste,"," (lacune)=[2,3,4] |  Ce sang en leur donnant la lumiere céleste,=[1,5]",,2,,,,,,,,cesangenleurdonantlalumiereceleste | lacune," Ce sang en leur donnant la lumiere céleste,", (lacune), (lacune), (lacune)," Ce sang en leur donnant la lumiere céleste,"
