source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
scene1.txt,6,31,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," Madame qu’auez~vous~? Et quel mal si caché… |  Madame qu’avez~vous~? Et quel mal si caché…. |  Madame, qu’avez-vous~? & quel mal si caché… |  Madame, qu’avez-vous~? & quel trouble… |  Madame, qu’avez-vous~? Et quel mal si caché…"," Madame qu’auez~vous~? Et quel mal si caché…=[1] |  Madame qu’avez~vous~? Et quel mal si caché….=[5] |  Madame, qu’avez-vous~? & quel mal si caché…=[3] |  Madame, qu’avez-vous~? & quel trouble…=[4] |  Madame, qu’avez-vous~? Et quel mal si caché…=[2]",,5,,,,,,,,madamequauezuousetquelmalsicache | madamequauezuousquelmalsicache | madamequauezuousqueltrouble, Madame qu’auez~vous~? Et quel mal si caché…," Madame, qu’avez-vous~? Et quel mal si caché…"," Madame, qu’avez-vous~? & quel mal si caché…"," Madame, qu’avez-vous~? & quel trouble…", Madame qu’avez~vous~? Et quel mal si caché….
scene1.txt,8,43,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," Ah~! mon Fils, de quel sang estes vous-là taché~? |  Ah~! mon Fils, de quel sang revenez-vous taché~? |  ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,"," Ah~! mon Fils, de quel sang estes vous-là taché~?=[1,5] |  Ah~! mon Fils, de quel sang revenez-vous taché~?=[2,3] |  ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,=[4]",,3,,,,,,,,ahmonfils | ahmonfilsdequelsangestesuouslatache | ahmonfilsdequelsangreuenezuoustache," Ah~! mon Fils, de quel sang estes vous-là taché~?"," Ah~! mon Fils, de quel sang revenez-vous taché~?"," Ah~! mon Fils, de quel sang revenez-vous taché~?"," ~~~~~~~~~~~~~~~~~~Ah~! mon Fils,"," Ah~! mon Fils, de quel sang estes vous-là taché~?"
scene1.txt,9,49,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna, (lacune) | Quelles traces de sang voi-je sur vos habits~?," (lacune)=[1,2,3,4] | Quelles traces de sang voi-je sur vos habits~?=[5]",,2,,,,,,,,lacune | quelestracesdesanguoiiesuruoshabis, (lacune), (lacune), (lacune), (lacune),Quelles traces de sang voi-je sur vos habits~?
scene1.txt,10,55,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,"Est-ce~de~vostre~Frere, | Est-ce~du~sang~d’un~Frere,","Est-ce~de~vostre~Frere,=[1,5] | Est-ce~du~sang~d’un~Frere,=[2,3,4]",,2,10,0.615,10,0.615,8,8,0.579,estcedeuostrefrere | estcedusangdunfrere,"Est-ce~de~vostre~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~du~sang~d’un~Frere,","Est-ce~de~vostre~Frere,"
scene1.txt,13,73,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Dans son camp jusqu’icy Polinice arresté, | Polinice à mes yeux ne s’est point presenté,","Dans son camp jusqu’icy Polinice arresté,=[4] | Polinice à mes yeux ne s’est point presenté,=[1,2,3,5]",,2,,,,,,,,dansoncampiusquicipoliniceareste | poliniceamesieuxnesestpointpresente,"Polinice à mes yeux ne s’est point presenté,","Polinice à mes yeux ne s’est point presenté,","Polinice à mes yeux ne s’est point presenté,","Dans son camp jusqu’icy Polinice arresté,","Polinice à mes yeux ne s’est point presenté,"
scene1.txt,14,79,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Et l’on s’est peu battu d’un & d’autre costé, | Et l’on s’est peu battu d’un & d’autre costé. | Et l’on s’est peu battu d’vn & d’autre costé. | Pour combattre à mes yeux ne s’est point presenté.","Et l’on s’est peu battu d’un & d’autre costé,=[2,3] | Et l’on s’est peu battu d’un & d’autre costé.=[5] | Et l’on s’est peu battu d’vn & d’autre costé.=[1] | Pour combattre à mes yeux ne s’est point presenté.=[4]",,4,,,,,,,,etlonsestpeubatudundautrecoste | pourcombatreamesieuxnesestpointpresente,Et l’on s’est peu battu d’vn & d’autre costé.,"Et l’on s’est peu battu d’un & d’autre costé,","Et l’on s’est peu battu d’un & d’autre costé,",Pour combattre à mes yeux ne s’est point presenté.,Et l’on s’est peu battu d’un & d’autre costé.
scene1.txt,15,85,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Du Camp des Argiens une troupe hardie | Du Camp des Argiens une troupe hardie, | D’Argiens seulement une troupe hardie | Seulement quelques Grecs d’un insolent courage, | Seulement quelques Grecs d’vn insolent courage,","Du Camp des Argiens une troupe hardie=[3] | Du Camp des Argiens une troupe hardie,=[2] | D’Argiens seulement une troupe hardie=[4] | Seulement quelques Grecs d’un insolent courage,=[5] | Seulement quelques Grecs d’vn insolent courage,=[1]",,5,,,,,,,,dargienseulementunetroupehardie | ducampdesargiensunetroupehardie | seulementquelquesgrecsduninsolentcourage,"Seulement quelques Grecs d’vn insolent courage,","Du Camp des Argiens une troupe hardie,",Du Camp des Argiens une troupe hardie,D’Argiens seulement une troupe hardie,"Seulement quelques Grecs d’un insolent courage,"
scene1.txt,16,91,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"M’a voulu de nos murs disputer la sortie. | M’ayant osé d’abord disputer le passage,","M’a voulu de nos murs disputer la sortie.=[2,3,4] | M’ayant osé d’abord disputer le passage,=[1,5]",,2,,,,,,,,maiantosedabordisputerlepasage | mauouludenosmursdisputerlasortie,"M’ayant osé d’abord disputer le passage,",M’a voulu de nos murs disputer la sortie.,M’a voulu de nos murs disputer la sortie.,M’a voulu de nos murs disputer la sortie.,"M’ayant osé d’abord disputer le passage,"
scene1.txt,20,115,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Mais pourquoi donc sortir avecque vostre armée~? | Mais pourquoy donc sortir auecque vostre Armée, | Mais pourquoy donc sortir auecque vostre armée~? | Mais pourquoy donc sortir avecque vostre Armée, | Mais que prétendiez vous~? & quelle ardeur soudaine","Mais pourquoi donc sortir avecque vostre armée~?=[3] | Mais pourquoy donc sortir auecque vostre Armée,=[1] | Mais pourquoy donc sortir auecque vostre armée~?=[2] | Mais pourquoy donc sortir avecque vostre Armée,=[5] | Mais que prétendiez vous~? & quelle ardeur soudaine=[4]",,5,,,,,,,,maispourquoidoncsortirauecqueuostrearmee | maisquepretendiezuousqueleardeursoudaine,"Mais pourquoy donc sortir auecque vostre Armée,",Mais pourquoy donc sortir auecque vostre armée~?,Mais pourquoi donc sortir avecque vostre armée~?,Mais que prétendiez vous~? & quelle ardeur soudaine,"Mais pourquoy donc sortir avecque vostre Armée,"
scene1.txt,21,121,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,Quel est ce mouuement qui m’a tant alarmée~? | Quel est ce mouvement qui m’a tant alarmée~? | Vous a fait tout à coup descendre dans la plaine~?,"Quel est ce mouuement qui m’a tant alarmée~?=[1] | Quel est ce mouvement qui m’a tant alarmée~?=[2,3,5] | Vous a fait tout à coup descendre dans la plaine~?=[4]",,3,,,,,,,,quelestcemouuementquimatantalarmee | uousafaitoutacoupdescendredanslaplaine,Quel est ce mouuement qui m’a tant alarmée~?,Quel est ce mouvement qui m’a tant alarmée~?,Quel est ce mouvement qui m’a tant alarmée~?,Vous a fait tout à coup descendre dans la plaine~?,Quel est ce mouvement qui m’a tant alarmée~?
